nazwa	rodzaj	masa	VAT	EAN
PANNA COTTA (DESER + MUS) Z GALARETK¼ TRUSKAWKOW¼ KARTONIK	ciasto	249	0,08	5909552024682
MUS SK MALINOWY	deser	34	0,08	5909552024910
ZEBRA KARTONIK	ciasto	680	0,08	5909552025627
CIASTO CZEKOLADOWE TORBA	ciasto	680	0,08	5909552025634
KARMELEK KARTONIK	ciasto	560	0,08	5909552029687
WADOWICKIE KREMOWKI PAPIESKIE (CIASTO+KREM) KARTONIK	ciasto	520	0,08	5909552029694
MUS SK TRUSKAWKOWY Z OWOCAMI	deser	34	0,08	5909552029946
MUS SK OWOCE LESNE Z OWOCAMI	deser	34	0,08	5909552029953
KREM DO WADOWICKICH KREMOWEK PAPIESKICH	dodatki	280	0,08	5909552030034
SODA OCZYSZCZONA TORBA ZE STRUNA NOWOSC	dodatki	200	0,23	5909552030317
FIX DO PIECZENIA SERNIKA	dodatki	65	0,08	5909552030843
FIX DO PIECZENIA BISZKOPTU	dodatki	85	0,08	5909552030850
PIERNIK KRAKOWSKI TORBA	ciasto	375	0,08	5909552032472
CZARNY LAS  KARTONIK	ciasto	414	0,08	5909552032847
BABECZKI MOCNO CZEKOLADOWE KARTONIK	ciasto	300	0,08	5909552032861
MIOD WIELOKWIATOWY	miod	400	0,05	5909597000016
MIOD LIPOWY	miod	400	0,05	5909597000023
MIOD WRZOSOWY	miod	400	0,05	5909597000092
MIOD POKRZYWOWY	miod	250	0,05	5909597000108
MIOD SOSNOWY	miod	250	0,05	5909597000115
MIOD WIELOKWIATOWY	miod	250	0,05	5909597000122
MIOD LIPOWY	miod	250	0,05	5909597000139
MIOD GRYCZANY	miod	250	0,05	5909597000146
MIOD AKACJOWY	miod	250	0,05	5909597000160
MIOD GLOGOWY	miod	250	0,05	5909597000214
MIOD Z PROPOLISEM	miod	250	0,05	5909597000306
MIOD Z MLECZKIEM	miod	250	0,05	5909597000313
MIOD Z PYLKIEM	miod	250	0,05	5909597000320
MIOD MNISZKOWY	miod	400	0,05	5909597000610
MIOD ARONIOWY	miod	250	0,05	5909597000733
PROPOLIS SUROWIEC	miod	50	0,05	5909597000771
PYLEK KWIATOWY	miod	200	0,05	5909597000788
PIERZGA W MIODZIE	miod	400	0,05	5909597000795
MIOD RZEPAKOWY	miod	400	0,05	5909597000801
MIOD ALOESOWY	miod	250	0,05	5909597001013
MIOD SPADZIOWY	miod	500	0,05	5909597001150
MIOD GRYCZANY	miod	500	0,05	5909597001235
MIOD MIESZANY SASZETKI	miod	50	0,05	5909597001570
MIOD PORCJOWANY	miod	15	0,05	5909597001785
MIOD KREMOWANY	miod	400	0,05	5909597001983
MIOD WIELOKWIATOWY PREMIUM	miod	500	0,05	5909597002386
MIOD LIPOWY	miod	1200	0,05	5909597002614
MIOD AKACJOWY	miod	1200	0,05	5909597002621
MIOD GRYCZANY	miod	1200	0,05	5909597002638
MIOD NEKTAR-SPADZIOWY	miod	1200	0,05	5909597002645
MIOD WIELOKWIATOWY	miod	1200	0,05	5909597002669
LIZAK PROPOSMACZEK	miod	40	0,05	5909597002867
KAWA MIELONA CLASSIC VACUM	uzywki	250	0,23	5909649058514
KAWA MIELONA PREMIUM VACUM	uzywki	250	0,23	5909649058521
KAWA MIELONA CLASIC	uzywki	70	0,23	5909649058811
DOMOWY NG MAL Z ZUR	napoje	430	0,08	5909805000036
DOMOWY NG ZURAWINA	napoje	430	0,08	5909805000425
DOMOWY NG MALINA	napoje	430	0,08	5909805000876
DOMOWY NG WISNIA	napoje	430	0,08	5909805000883
DOMOWY NG TRUSKAWKA	napoje	430	0,08	5909805000975
DOMOWY NG MALINA Z CYRT	napoje	430	0,08	5909805000982
DOMOWY NG MALINA Z LIPA	napoje	430	0,08	5909805001408
DOMOWY NG MALINA Z MELISA	napoje	430	0,08	5909805001415
CATERING NG MALINA	napoje	970	0,08	5909805002740
CATERING NG ZURAWINA	napoje	970	0,08	5909805002764
SUPER BARMAN NG MALINA	napoje	3000	0,08	5909805005000
SUPER BARMAN NG WISNIA	napoje	3000	0,08	5909805005017
CATERING NG MALINA	napoje	970	0,08	5909805005086
PAOLA KOMPOT DOMOWY JABLKO	napoje	1500	0,23	5909805005178
PAOLA KOMPOT DOMOWY WISNIA	napoje	1500	0,23	5909805005185
PAOLA KOMPOT DOMOWY JAGODA	napoje	1500	0,23	5909805005192
KREM O`LADA  SCOOBY DOO	deser	25	0,23	5909915000025
KREM O SMAKU CZEKOLADOWO-ORZECHOWYM SCOOBY-DOO KIDS	deser	180	0,23	5909915000346
KREM O SMAKU CZEKOLADOWYM SCOOBY-DOO KIDS	deser	180	0,23	5909915000360
KREM O SMAKU CZEKOLADOWYM SCOOBY-DOO KIDS	deser	360	0,23	5909915000391
KREM O SMAKU CZEKOLADOWO-ORZECHOWYM SCOOBY-DOO KIDS	deser	360	0,23	5909915000407
KREM O SMAKU TOFFI SCOOBY-DOO KIDS	deser	180	0,23	5909915000728
SERCE TYLKO DLA CIEBIE	cukierki	200	0,23	5909915000933
TY I JA MISIE	czekolada	100	0,23	5909915000971
DLA CIEBIE MISIE	czekolada	100	0,23	5909915000988
ORZECHOWA	czekolada	200	0,23	5909915001084
BAKALIOWA	czekolada	200	0,23	5909915001091
CZEKOLADKI Z NADZ.TRUFLOWYM TYLKO DLA CIEBIE	cukierki	17	0,23	5909915001268
SERDUSZKA -SERDUSZKA CZEKOL.(MIGDAL-KOKOS,TIRAMISU)	cukierki	180	0,23	5909915001374
CZEKOLADKI  ORZECHOWE ANDRZEJKI	cukierki	1000	0,23	5909915001510
SERDUSZKA CZERWONE Z MLECZNEJ CZEKOLADY	cukierki	18	0,23	5909915001619
GORZKA	czekolada	100	0,23	5909915001626
TRUSKAWKOWA	czekolada	100	0,23	5909915001824
PIERROT	cukierki	1000	0,23	5909915001862
MIETOWA	czekolada	100	0,23	5909915001985
GORZKA 77%	czekolada	100	0,23	5909915002340
GORZKA 77% Z POMARANCZA I CHILI	czekolada	100	0,23	5909915002487
GORZKA 77% Z KAWA I KARDAMONEM	czekolada	100	0,23	5909915002500
SOS DESEROWY CZEKOLADOWY	dodatki	200	0,23	5909915002579
SOS DESEROWY TOFFI	dodatki	180	0,08	5909915002586
SOS DESEROWY ADWOKAT	dodatki	200	0,23	5909915002593
SOS DESEROWY TRUSKAWKOWY	dodatki	200	0,08	5909915002609
MLECZNA LAKA	czekolada	250	0,23	5909915002692
ANUSIA	cukierki	1000	0,23	5909915002753
SERDUSZKA CZEKOLADOWE Z NADZIENIEM ADWOKAT	cukierki	600	0,23	5909915003897
FIGURKA	cukierki	6	0,23	5909915004009
SERDUSZKA CZERWONE Z MLECZNEJ CZEKOLADY	cukierki	18	0,23	5909915004030
SERDUSZKA ZODIAK Z MLECZNEJ CZEKOLADY	cukierki	18	0,23	5909915004214
MLECZNA Z TRUSKAWKAMI I AROMATEM SZAMPANA	czekolada	90	0,23	5909915004351
MLECZNA Z GRUSZKA I LIKIEREM	czekolada	90	0,23	5909915004382
BAMBI	cukierki	1000	0,23	5909915004511
BAMBINO	cukierki	1000	0,23	5909915004559
JOGURTOWO-WISNIOWA	czekolada	100	0,23	5909915004771
SERDUSZKA NADZIEWANE TIRAMISU	cukierki	90	0,23	5909915004979
SOS DESEROWY TIRAMISU	dodatki	200	0,23	5909915005075
SMACZKI	cukierki	1000	0,23	5909915005242
WIOSENNE	cukierki	1000	0,23	5909915005266
ADWOKAT	czekolada	100	0,23	5909915005341
TIRAMISU	czekolada	100	0,23	5909915005365
MLECZNA	czekolada	100	0,23	5909915005389
BAKALIOWA	czekolada	180	0,23	5909915005518
ORZECHOWA	czekolada	180	0,23	5909915005532
MLECZNA	czekolada	180	0,23	5909915005556
MILUSIE	cukierki	1000	0,23	5909915005594
MARCEPANOWA	czekolada	95	0,23	5909915005723
BIALO-CZARNA KAWOWA	czekolada	100	0,23	5909915006232
PISTACJOWA	czekolada	100	0,23	5909915006669
TRUSKAWKOWO-AGRESTOWA	czekolada	100	0,23	5909915007123
MALINOWO-PORZECZKOWA	czekolada	100	0,23	5909915007147
MIETOWO-CYTRYNOWA	czekolada	100	0,23	5909915007161
GORZKA Z BAKALIAMI	czekolada	100	0,23	5909915007659
MALAGA DESEROWA Z RODZYNKAMI	czekolada	250	0,23	5909915007772
AMARETTO DESEROWA  Z MORELAMI	czekolada	250	0,23	5909915007796
OKIENKO  ORZECHAMI	czekolada	100	0,23	5909915010291
MAXI MLECZNA	czekolada	250	0,23	5909915010345
MLECZNA Z  ORZECHAMI	czekolada	250	0,23	5909915010369
MLECZNA ZAGADKA	czekolada	250	0,23	5909915010420
OKIENKO Z  ORZECHAMI W MIODZIE	czekolada	100	0,23	5909915010949
CRISPY MLECZNA Z BAKALIAMI	czekolada	250	0,23	5909915010963
SCOOBY-DOO TRUSKAWKOWKOWA	czekolada	100	0,23	5909915011960
SCOOBY-DOO TOFFI	czekolada	100	0,23	5909915011984
SCOOBY-DOO MLECZNA	czekolada	100	0,23	5909915012004
ADWOKAT HAPPY TRIO	cukierki	1000	0,23	5909915012257
MOUSSE AU CHOCOLATE  HAPPY TRIO	cukierki	1000	0,23	5909915012264
KOKOSOWE  HAPPY TRIO	cukierki	1000	0,23	5909915012271
PALUSZKI KAWY JACOBS 3IN1 (18G X 10) X14	uzywki	18	0,23	5998711722937
PALUSZKI KAWY JACOBS 2IN1(18G X 10) X14	uzywki	18	0,23	5998711722944
MILKA CARAMEL	czekolada	100	0,23	5998711723491
MILKA MILKINIS	czekolada	87,5	0,23	7622200003938
MILKA ALPENMILK	czekolada	100	0,23	7622200004607
MILKA GANZNUSS	czekolada	100	0,23	7622200004614
STRAWBERRY YOGHURT	czekolada	100	0,23	7622200007332
MLECZNA KRAINA	czekolada	43,75	0,23	7622300107208
MLECZNA KRAINA	czekolada	87,5	0,23	7622300107789
MILKA MILKINIS	czekolada	43,75	0,23	7622300107802
PALUSZKI KAWY CAPPUCCINO MILKA SPECIALS	uzywki	22	0,23	7622300120757
PALUSZKI KAWY CAPPUCCINO MILKA SPECIALS CZEKOLADOWO-ORZECHOWE	uzywki	22	0,23	7622300134860
NUSSBEISSER GORZKI	czekolada	100	0,23	7622300145040
COTE D'OR MLECZNA Z KAWALK. KARMELIZOWANYCH MIGDALOW	czekolada	100	0,23	7622300172558
MILKA TRIOLADE	czekolada	100	0,23	7622300182519
XS	czekolada	200	0,23	7622300191092
BABOLADA ORZECHOWA XS	czekolada	200	0,23	7622300191153
ALPINE MILK	czekolada	100	0,23	7622300200237
WHOLE NUTS	czekolada	100	0,23	7622300200312
RAISINS&NUTS	czekolada	100	0,23	7622300200367
CZEKOLADA Z NADZ.TRUFLOWYM	czekolada	100	0,23	7622300237226
3 BIT XXL	baton	51	0,23	7622300279486
KAWA MIELONA CARTE NOIRE CLASSIC	uzywki	250	0,23	7622300289805
KAWA ROZPUSZCZALNA CARTE NOIRE CLASSIC	uzywki	100	0,23	7622300289836
KAWA ROZPUSZCZALNA CARTE NOIRE EXPRESSO	uzywki	100	0,23	7622300289850
KAWA MIELONA CARTE NOIRE EXPRESSO	uzywki	250	0,23	7622300289874
3 BIT	baton	51	0,23	7622300296025
KAWA CARTE NOIRE ZIARNO	uzywki	250	0,23	7622300309350
MILKA TOFFEE WHOLENUTS	czekolada	100	0,23	7622300313357
3 BIT XXL ORZECHOWY	baton	51	0,23	7622300315191
MILKA SINGLES MIX	baton	147	0,23	7622300327835
PRINCE POLO ORZECHOWE	ciastka	17	0,23	7622300329778
PRINCE POLO CLASSIC	ciastka	18	0,23	7622300329853
MILKA CHOCO & RICE	czekolada	100	0,23	7622300329914
PRINCE POLO CLASSIC	ciastka	18	0,23	7622300330125
MILKA ALPEJSKIE MLECZKO WANILIOWE	baton	350	0,23	7622300332150
MILKA ALPEJSKIE MLECZKO CZEKOLADOWE	baton	350	0,23	7622300332181
I LOVE MILKA	baton	42	0,23	7622300380052
I LOVE MILKA	baton	150	0,23	7622300380106
I LOVE MILKA	baton	84	0,23	7622300380182
MILKA THANK YOU	baton	150	0,23	7622300403942
MILKA THANK YOU	baton	84	0,23	7622300403997
MILKA THANK YOU	baton	42	0,23	7622300404406
MILKA MOUSSE AU PRALINE	czekolada	100	0,23	7622300439217
MILKA MOUSSE AU CHOCOLAT	czekolada	100	0,23	7622300439248
MILKA MOUSSE A LA CREME CARAMEL	czekolada	100	0,23	7622300439415
PALUSZKI KAWY MAXWELL HOUSE 3 W 1	uzywki	18	0,23	7622300449513
CZEKOLADA GORZKA Z NADZIENIEM MALINOWYM	czekolada	100	0,23	7622300454173
CZEKOLADA GORZKA Z NADZIENIEM WISNIOWYM	czekolada	100	0,23	7622300454203
CZEKOLADA GORZKA 65% (NOWOSC)	czekolada	100	0,23	7622300454869
NUSSBIESSER	czekolada	100	0,23	7622300454906
KAWA ROZPUSZCZALNA KRONUNG ESPRESSO	uzywki	100	0,23	7622300472498
KAWA MIELONA KRONUNG ESPRESSO	uzywki	250	0,23	7622300472528
HAPPY COWS ( LACIATA )	czekolada	100	0,23	7622400005190
COTE D'OR GORZKA 70% KAKAO	czekolada	100	0,23	7622400006753
COTE D'OR GORZKA Z NADZ. CZEK. I SKORKA POMARANCZY	czekolada	100	0,23	7622400012020
COTE D'OR GORZKA 86% KAKAO	czekolada	100	0,23	7622400013423
MILKA MARZIPAN	czekolada	100	0,23	7622400806612
COTE D'OR GORZKA Z NADZ. CZEK. O SMAKU MALINOWYM	czekolada	100	0,23	7622400960215
MON CHERI T5X16X4	bombonierka	52,5	0,23	8009500003336
KINDER JOY T3X128	baton	60	0,23	8009500028124
KINDER DELICE KAKAO	baton	420	0,23	8009500057100
RONDNOIR T4X12 AS	bombonierka	40	0,23	8009500078310
TIC TAC FEST1	cukierki	49	0,23	8009500078969
RAFFAELLO T18X48 UOV	bombonierka	180	0,23	8009500084755
KINDER PINGUI KOKOS PZ B	baton	30	0,23	8009500119792
KINDER PINGUI KOKOS CRT B POL 11	baton	240	0,23	8009500120576
TIC TAC OR	cukierki	64	0,23	8009500123775
MILKA SCHOCO SWING WAFER	czekolada	100	0,23	8419172905355
DRAZE MILKA LILA STARS MAXIS	cukierki	130	0,23	8581040720667
DRAZE MILKA LILA STARS RODZYNKI	cukierki	130	0,23	8581040720711
DRAZE MILKA LILA STARS ORZECHY	cukierki	130	0,23	8581040720735
DRAZE MILKA LILA STARS CRISPELLO	cukierki	130	0,23	8581040720759
CHOCOLATE DESSERT	czekolada	100	0,23	8592231071116
NESQUIK PLATKI I MLEKO	przetwory zbozowe	25	0,05	8593893007437
CHOCAPIC PLATKI I MLEKO	przetwory zbozowe	25	0,05	8593893007468
CINI MINIS PLATKI I MLEKO	przetwory zbozowe	25	0,05	8593893007499
JUPIK CHERRY COLA	napoje	330	0,05	8594003840340
JUPIK JABLKO	napoje	330	0,05	8594003842412
JUPI ANANAS NG	napoje	1750	0,05	8594003842498
JUPIK BANAN	napoje	300	0,05	8594003842528
JUPI CYTRUS MIX MIÊTA	napoje	1750	0,05	8594003842986
JUPIK AQUA JABLKO	napoje	500	0,23	8594003843808
JUPIK AQUA CYTRYNA	napoje	500	0,23	8594003843815
JUPIK AQUA TRUSKAWKA	napoje	500	0,23	8594003843822
JUPI NG MULTIWITAMINA RED	napoje	500	0,05	8594003844300
JUPIK SHAKE NG MALINA	napoje	330	0,05	8594003844324
JUPIK SHAKE NG WISNIA Z CZEKOLADA	napoje	330	0,05	8594003844331
JUPIK TRUSKAWKA	napoje	330	0,05	8594003848858
JUPIK MULTIWITAMINA	napoje	330	0,05	8594003848872
JUPI POMARANCZA NG	napoje	1750	0,05	8594003848926
JUPI MULTIWITAMINA	napoje	1750	0,05	8594003848933
JUPI JABLKO MIÊTA	napoje	1750	0,05	8594003848940
JUPI NG MULTIWITAMINA	napoje	500	0,05	8594003848964
JUPI NG POMARANCZA	napoje	500	0,05	8594003848971
JUPI CZARNA PORZECZKA NG	napoje	1750	0,05	8594003848995
JUPI MULTIWITAMINA	napoje	1750	0,05	8594003849015
KAWA MIELONA CLASSIC	uzywki	400	0,23	8594033197216
KAWA MIELONA PREMIUM	uzywki	400	0,23	8594033197230
KAWA ZIARNISTA PREMIUM	uzywki	400	0,23	8594033197254
KAWA ZIARNISTA PREMIUM	uzywki	1000	0,23	8594033197346
PALUSZKI KAWY JACOBS 3IN1	uzywki	18	0,23	8599160323962
ORZECHY WLOSKIE TARTE	bakalie	200	0,05	9001458065215
MAK MIELONY	bakalie	200	0,05	9001458065260
MAK MIELONY	bakalie	1000	0,05	9001458065307
MIGDALY TARTE	bakalie	200	0,08	9001458065314
MIESZANKA SKOREK	bakalie	100	0,08	9001466204026
WISNIE KANDYZOWANE	bakalie	100	0,08	9001466204040
SKORKA POMARANCZY	bakalie	100	0,08	9001466204262
MILKA RAISINS-NUTS	czekolada	100	0,23	9012200001269
